   33.825S   59.460W          UA_ID:        0  SF_ID:    12345  OS_ID:        0     VERSION: 06341
datetime year month day jul_day hour sensible_heat friction_velocity convective_velocity_scale vertical_T_gradient_overPBL PBLH SBLH Monin_Obukhov_lon surf_rugosity bowen_rate albedo wsp wdir ref_wsp_height T reg_T_height precip_code precip_rate RH PSFC cloud_cover
2018-12-31T24:00:00 18 12 31 365 24   -3.6  0.061    nan    nan   nan   35.      5.6  0.072   0.75   1.00    1.50   48.   10.0  298.0    2.0     0   0.00    78.  1008.     0
2019-01-01T01:00:00 19  1  1   1  1   -3.6  0.061    nan    nan   nan   35.      5.6  0.072   0.75   1.00    1.50  321.   10.0  298.4    2.0     0   0.00    67.  1007.     0
2019-01-01T02:00:00 19  1  1   1  2   -3.6  0.061    nan    nan   nan   35.      5.7  0.072   0.75   1.00    1.50  358.   10.0  298.4    2.0     0   0.00    64.  1007.     1
2019-01-01T03:00:00 19  1  1   1  3  -25.8  0.243    nan    nan   nan  275.     49.8  0.072   0.75   1.00    3.60    4.   10.0  298.0    2.0     0   0.00    66.  1007.     0
2019-01-01T04:00:00 19  1  1   1  4   -1.6  0.041    nan    nan   nan  107.      3.8  0.072   0.75   1.00    1.00   53.   10.0  297.4    2.0     0   0.00    72.  1007.     1
2019-01-01T05:00:00 19  1  1   1  5   -6.6  0.085    nan    nan   nan   57.      8.4  0.072   0.75   1.00    2.10  323.   10.0  297.1    2.0     0   0.00    76.  1008.     5
2019-01-01T06:00:00 19  1  1   1  6   -3.5  0.061    nan    nan   nan   35.      5.9  0.072   0.75   1.00    1.50    2.   10.0  296.8    2.0     0   0.00    80.  1008.     4
2019-01-01T07:00:00 19  1  1   1  7   -7.8  0.281    nan    nan   nan  343.    255.2  0.072   0.75   0.57    3.60    5.   10.0  297.0    2.0     0   0.00    82.  1008.     5
2019-01-01T08:00:00 19  1  1   1  8   41.3  0.159  0.386  0.005   50.  153.     -8.8  0.072   0.75   0.37    1.50    3.   10.0  297.9    2.0     0   0.00    81.  1008.     5
2019-01-01T09:00:00 19  1  1   1  9   89.7  0.256  0.933  0.005  325.  297.    -16.7  0.072   0.75   0.31    2.60  357.   10.0  298.9    2.0     0   0.00    79.  1008.     5
2019-01-01T10:00:00 19  1  1   1 10  135.2  0.226  1.224  0.005  487.  248.     -7.7  0.072   0.75   0.29    2.10    1.   10.0  300.4    2.0     0   0.00    75.  1008.     1
2019-01-01T11:00:00 19  1  1   1 11  165.9  0.344  1.477  0.005  700.  464.    -22.1  0.072   0.75   0.28    3.60    4.   10.0  300.9    2.0     0   0.00    73.  1008.     5
2019-01-01T12:00:00 19  1  1   1 12  189.7  0.348  1.674  0.005  889.  471.    -19.9  0.072   0.75   0.28    3.60  356.   10.0  302.1    2.0     0   0.00    71.  1007.     5
2019-01-01T13:00:00 19  1  1   1 13  208.7  0.275  1.828  0.005 1052.  334.     -8.9  0.072   0.75   0.28    2.60    3.   10.0  303.8    2.0     0   0.00    66.  1006.     4
2019-01-01T14:00:00 19  1  1   1 14  202.3  0.349  1.910  0.005 1239.  475.    -18.9  0.072   0.75   0.28    3.60  319.   10.0  303.9    2.0     0   0.00    68.  1006.     5
2019-01-01T15:00:00 19  1  1   1 15  191.8  0.234  1.953  0.005 1395.  267.     -6.0  0.072   0.75   0.28    2.10   52.   10.0  304.4    2.0     0   0.00    69.  1005.     5
2019-01-01T16:00:00 19  1  1   1 16  170.2  0.419  1.967  0.005 1604.  624.    -38.6  0.072   0.75   0.28    4.60    4.   10.0  305.9    2.0     0   0.25    65.  1003.     5
2019-01-01T17:00:00 19  1  1   1 17  136.9  0.339  1.893  0.005 1775.  458.    -25.5  0.072   0.75   0.29    3.60  321.   10.0  305.2    2.0     0   0.25    65.  1003.     5
2019-01-01T18:00:00 19  1  1   1 18   80.4  0.170  1.623  0.005 1907.  182.     -5.4  0.072   0.75   0.31    1.50  317.   10.0  302.6    2.0     0   0.25    80.  1003.     7
2019-01-01T19:00:00 19  1  1   1 19   40.5  0.278  1.329  0.005 2077.  337.    -47.6  0.072   0.75   0.36    3.10  324.   10.0  302.8    2.0     0   0.25    74.  1003.     7
2019-01-01T20:00:00 19  1  1   1 20    2.1  0.130  0.509  0.005 2265.  122.    -93.3  0.072   0.75   0.55    1.50  357.   10.0  302.4    2.0     0   0.25    76.  1002.     7
2019-01-01T21:00:00 19  1  1   1 21   -3.3  0.061    nan    nan   nan   37.      6.1  0.072   0.75   1.00    1.50  360.   10.0  301.9    2.0     0   0.25    78.  1004.     5
2019-01-01T22:00:00 19  1  1   1 22   -6.5  0.085    nan    nan   nan   57.      8.5  0.072   0.75   1.00    2.10  322.   10.0  301.9    2.0     0   0.00    78.  1004.     5
2019-01-01T23:00:00 19  1  1   1 23  -30.6  0.292    nan    nan   nan  363.     73.0  0.072   0.75   1.00    4.10  320.   10.0  301.8    2.0     0   0.00    80.  1004.     0
2019-01-01T24:00:00 19  1  1   1 24  -19.8  0.189    nan    nan   nan  193.     30.3  0.072   0.75   1.00    3.10  320.   10.0  301.0    2.0     0   0.00    80.  1005.     0
2019-01-02T01:00:00 19  1  2   2  1  -25.6  0.243    nan    nan   nan  276.     50.4  0.072   0.75   1.00    3.60  316.   10.0  300.6    2.0     0   0.00    82.  1003.     0
2019-01-02T02:00:00 19  1  2   2  2   -7.0  0.085    nan    nan   nan   81.      7.9  0.072   0.75   1.00    2.10  322.   10.0  300.2    2.0     0   0.00    84.  1002.     0
2019-01-02T03:00:00 19  1  2   2  3  -19.8  0.188    nan    nan   nan  188.     30.1  0.072   0.75   1.00    3.10  272.   10.0  300.0    2.0     0   0.00    78.  1002.     0
2019-01-02T04:00:00 19  1  2   2  4  -10.7  0.106    nan    nan   nan   81.      9.8  0.072   0.75   1.00    2.60  320.   10.0  299.8    2.0     0   0.00    78.  1003.     0
2019-01-02T05:00:00 19  1  2   2  5   -1.5  0.041    nan    nan   nan   20.      4.0  0.072   0.75   1.00    1.00  316.   10.0  299.4    2.0     0   0.00    80.  1003.     5
2019-01-02T06:00:00 19  1  2   2  6   -3.1  0.061    nan    nan   nan   35.      6.5  0.072   0.75   1.00    1.50  357.   10.0  299.2    2.0     0   0.00    82.  1003.     7
2019-01-02T07:00:00 19  1  2   2  7   -1.1  0.111    nan    nan   nan   85.    108.5  0.072   0.75   0.57    1.50  319.   10.0  299.4    2.0     0   0.00    83.  1003.     7
2019-01-02T08:00:00 19  1  2   2  8   22.9  0.151  0.318  0.005   50.  135.    -13.4  0.072   0.75   0.37    1.50  266.   10.0  300.5    2.0     0   0.00    80.  1002.     9
2019-01-02T09:00:00 19  1  2   2  9   48.0  0.161  0.674  0.005  228.  149.     -7.8  0.072   0.75   0.31    1.50  320.   10.0  301.4    2.0     0   0.00    79.  1002.     9
2019-01-02T10:00:00 19  1  2   2 10   69.9  0.251  0.916  0.005  393.  289.    -20.1  0.072   0.75   0.29    2.60  321.   10.0  302.1    2.0     0   1.52    80.  1001.     9
2019-01-02T11:00:00 19  1  2   2 11  141.9  0.377  1.343  0.005  610.  533.    -33.8  0.072   0.75   0.28    4.10  275.   10.0  303.4    2.0     0   1.52    74.  1001.     7
2019-01-02T12:00:00 19  1  2   2 12  162.5  0.183  1.495  0.005  735.  210.     -3.4  0.072   0.75   0.28    1.50  271.   10.0  305.2    2.0     0   1.52    69.  1000.     7
2019-01-02T13:00:00 19  1  2   2 13   55.8  0.124  1.097  0.005  844.  102.     -3.1  0.072   0.75   0.28    1.00  269.   10.0  303.9    2.0     0   1.52    75.  1000.    10
2019-01-02T14:00:00 19  1  2   2 14   52.6  0.208  1.125  0.005  967.  219.    -15.3  0.072   0.75   0.28    2.10  177.   10.0  298.4    2.0     0   1.52    92.  1001.    10
2019-01-02T15:00:00 19  1  2   2 15   49.6  0.282  1.158  0.005 1115.  344.    -40.1  0.072   0.75   0.28    3.10  320.   10.0  298.1    2.0     0   1.52    90.   999.    10
2019-01-02T16:00:00 19  1  2   2 16   43.6  0.205  1.142  0.005 1217.  216.    -17.7  0.072   0.75   0.28    2.10   94.   10.0  298.2    2.0     0   0.00    89.  1000.    10
2019-01-02T17:00:00 19  1  2   2 17   34.7  0.076  1.080  0.005 1294.   61.     -1.1  0.072   0.75   0.29    0.50   88.   10.0  298.1    2.0     0   0.00    91.   999.    10
2019-01-02T18:00:00 19  1  2   2 18   23.5  0.072  0.966  0.005 1368.   44.     -1.4  0.072   0.75   0.30    0.50  141.   10.0  297.9    2.0     0   0.00    90.  1000.    10
2019-01-02T19:00:00 19  1  2   2 19   10.5  0.105  0.753  0.005 1446.   78.     -9.7  0.072   0.75   0.36    1.00  182.   10.0  297.8    2.0     0   0.00    88.  1000.    10
2019-01-02T20:00:00 19  1  2   2 20   -0.5  0.118    nan    nan   nan   93.    288.7  0.072   0.75   0.55    1.50  185.   10.0  297.4    2.0     0   0.00    88.  1002.     7
2019-01-02T21:00:00 19  1  2   2 21  -14.3  0.270    nan    nan   nan  323.    122.9  0.072   0.75   1.00    3.60  144.   10.0  297.5    2.0     0   0.00    86.  1002.    10
2019-01-02T22:00:00 19  1  2   2 22   -6.4  0.121    nan    nan   nan  112.     24.5  0.072   0.75   1.00    2.10  145.   10.0  297.8    2.0     0   0.00    86.  1004.    10
2019-01-02T23:00:00 19  1  2   2 23   -9.4  0.177    nan    nan   nan  171.     52.9  0.072   0.75   1.00    2.60  177.   10.0  297.8    2.0     0   0.00    83.  1004.    10
2019-01-02T24:00:00 19  1  2   2 24  -21.2  0.399    nan    nan   nan  580.    267.9  0.072   0.75   1.00    5.10  178.   10.0  297.1    2.0     0   0.00    82.  1005.    10
2019-01-03T01:00:00 19  1  3   3  1  -28.6  0.533    nan    nan   nan  894.    474.6  0.072   0.75   1.00    6.70  140.   10.0  295.4    2.0     0   0.00    68.  1006.    10
2019-01-03T02:00:00 19  1  3   3  2  -19.2  0.356    nan    nan   nan  512.    211.8  0.072   0.75   1.00    4.60  136.   10.0  294.4    2.0     0   0.00    71.  1006.    10
2019-01-03T03:00:00 19  1  3   3  3  -19.3  0.356    nan    nan   nan  489.    210.9  0.072   0.75   1.00    4.60  144.   10.0  293.1    2.0     0   0.00    59.  1007.    10
2019-01-03T04:00:00 19  1  3   3  4  -17.0  0.313    nan    nan   nan  404.    162.6  0.072   0.75   1.00    4.10  140.   10.0  292.4    2.0     0   0.00    64.  1007.    10
2019-01-03T05:00:00 19  1  3   3  5  -19.4  0.356    nan    nan   nan  489.    209.6  0.072   0.75   1.00    4.60  137.   10.0  291.5    2.0     0   0.00    57.  1008.    10
2019-01-03T06:00:00 19  1  3   3  6  -14.7  0.269    nan    nan   nan  325.    119.5  0.072   0.75   1.00    3.60  139.   10.0  290.6    2.0     0   0.00    67.  1009.    10
2019-01-03T07:00:00 19  1  3   3  7   -2.2  0.061    nan    nan   nan  110.      9.3  0.072   0.75   0.57    1.50  136.   10.0  290.5    2.0     0   0.00    67.  1010.    10
2019-01-03T08:00:00 19  1  3   3  8   18.1  0.230  0.293  0.005   50.  253.    -60.3  0.072   0.75   0.37    2.60  139.   10.0  290.8    2.0     0   0.00    65.  1010.     9
2019-01-03T09:00:00 19  1  3   3  9   42.8  0.279  0.697  0.005  285.  339.    -45.7  0.072   0.75   0.31    3.10  138.   10.0  290.9    2.0     0   0.00    53.  1010.     9
2019-01-03T10:00:00 19  1  3   3 10   65.0  0.399  0.965  0.005  499.  579.    -87.9  0.072   0.75   0.29    4.60  144.   10.0  292.6    2.0     0   0.00    51.  1011.     9
2019-01-03T11:00:00 19  1  3   3 11  167.6  0.269  1.416  0.005  612.  330.    -10.5  0.072   0.75   0.28    2.60  142.   10.0  295.2    2.0     0   0.00    40.  1011.     4
2019-01-03T12:00:00 19  1  3   3 12  186.2  0.234  1.571  0.005  752.  260.     -6.2  0.072   0.75   0.28    2.10  138.   10.0  296.4    2.0     0   0.00    37.  1011.     5
2019-01-03T13:00:00 19  1  3   3 13  198.5  0.349  1.731  0.005  943.  474.    -19.2  0.072   0.75   0.28    3.60   91.   10.0  297.9    2.0     0   0.00    35.  1010.     5
2019-01-03T14:00:00 19  1  3   3 14  198.7  0.235  1.821  0.005 1096.  268.     -5.9  0.072   0.75   0.28    2.10  142.   10.0  297.8    2.0     0   0.00    32.  1010.     5
2019-01-03T15:00:00 19  1  3   3 15  195.0  0.273  1.896  0.005 1261.  328.     -9.4  0.072   0.75   0.28    2.60  177.   10.0  299.0    2.0     0   0.00    32.  1010.     4
2019-01-03T16:00:00 19  1  3   3 16  166.3  0.184  1.866  0.005 1409.  184.     -3.4  0.072   0.75   0.28    1.50  230.   10.0  299.2    2.0     0   0.00    37.  1009.     5
2019-01-03T17:00:00 19  1  3   3 17  132.4  0.179  1.787  0.005 1554.  174.     -3.9  0.072   0.75   0.29    1.50  319.   10.0  296.9    2.0     0   0.00    43.  1009.     5
2019-01-03T18:00:00 19  1  3   3 18   92.5  0.132  1.631  0.005 1688.  110.     -2.2  0.072   0.75   0.30    1.00   51.   10.0  296.9    2.0     0   0.00    45.  1008.     2
2019-01-03T19:00:00 19  1  3   3 19   38.9  0.158  1.253  0.005 1821.  145.     -9.1  0.072   0.75   0.36    1.50  357.   10.0  295.9    2.0     0   0.00    47.  1008.     1
2019-01-03T20:00:00 19  1  3   3 20   -1.0  0.041    nan    nan   nan   36.      5.8  0.072   0.75   0.55    1.00  318.   10.0  295.1    2.0     0   0.00    50.  1009.     2
2019-01-03T21:00:00 19  1  3   3 21   -7.0  0.085    nan    nan   nan   57.      7.9  0.072   0.75   1.00    2.10  357.   10.0  294.4    2.0     0   0.00    55.  1009.     2
2019-01-03T22:00:00 19  1  3   3 22   -1.6  0.041    nan    nan   nan   19.      3.7  0.072   0.75   1.00    1.00  359.   10.0  293.9    2.0     0   0.00    57.  1010.     0
2019-01-03T23:00:00 19  1  3   3 23   -1.6  0.041    nan    nan   nan   19.      3.7  0.072   0.75   1.00    1.00   51.   10.0  293.0    2.0     0   0.00    63.  1010.     0
2019-01-03T24:00:00 19  1  3   3 24   -0.4  0.020    nan    nan   nan    7.      1.9  0.072   0.75   1.00    0.50  357.   10.0  292.2    2.0     0   0.00    70.  1010.     0
2019-01-04T01:00:00 19  1  4   4  1  -36.5  0.337    nan    nan   nan  451.     94.8  0.072   0.75   1.00    4.60  356.   10.0  294.0    2.0     0   0.00    57.  1010.     0
2019-01-04T02:00:00 19  1  4   4  2  -36.5  0.337    nan    nan   nan  451.     94.6  0.072   0.75   1.00    4.60  316.   10.0  293.6    2.0     0   0.00    54.  1010.     0
2019-01-04T03:00:00 19  1  4   4  3  -20.2  0.186    nan    nan   nan  198.     28.8  0.072   0.75   1.00    3.10  318.   10.0  293.4    2.0     0   0.00    56.  1010.     0
2019-01-04T04:00:00 19  1  4   4  4  -26.2  0.242    nan    nan   nan  273.     48.5  0.072   0.75   1.00    3.60  319.   10.0  293.1    2.0     0   0.00    57.  1010.     0
2019-01-04T05:00:00 19  1  4   4  5   -7.1  0.085    nan    nan   nan   80.      7.8  0.072   0.75   1.00    2.10  321.   10.0  292.4    2.0     0   0.00    60.  1010.     0
2019-01-04T06:00:00 19  1  4   4  6   -7.2  0.085    nan    nan   nan   57.      7.8  0.072   0.75   1.00    2.10  322.   10.0  291.9    2.0     0   0.00    68.  1011.     0
2019-01-04T07:00:00 19  1  4   4  7   -3.0  0.061    nan    nan   nan   35.      6.8  0.072   0.75   0.58    1.50  266.   10.0  291.9    2.0     0   0.00    65.  1012.     0
2019-01-04T08:00:00 19  1  4   4  8   31.6  0.312  0.353  0.005   50.  401.    -86.9  0.072   0.75   0.37    3.60  268.   10.0  293.6    2.0     0   0.00    56.  1012.     0
2019-01-04T09:00:00 19  1  4   4  9   84.0  0.254  0.902  0.005  316.  296.    -17.7  0.072   0.75   0.31    2.60  316.   10.0  295.1    2.0     0   0.00    49.  1013.     0
2019-01-04T10:00:00 19  1  4   4 10  130.2  0.263  1.207  0.005  488.  311.    -12.6  0.072   0.75   0.29    2.60  267.   10.0  297.1    2.0     0   0.00    46.  1012.     0
2019-01-04T11:00:00 19  1  4   4 11  167.1  0.231  1.441  0.005  648.  256.     -6.7  0.072   0.75   0.28    2.10  317.   10.0  298.6    2.0     0   0.00    44.  1013.     0
2019-01-04T12:00:00 19  1  4   4 12  194.8  0.348  1.664  0.005  854.  473.    -19.5  0.072   0.75   0.28    3.60  323.   10.0  299.8    2.0     0   0.00    43.  1012.     1
2019-01-04T13:00:00 19  1  4   4 13  208.1  0.145  1.794  0.005 1004.  165.     -1.3  0.072   0.75   0.28    1.00  275.   10.0  301.0    2.0     0   0.00    42.  1012.     1
2019-01-04T14:00:00 19  1  4   4 14  200.9  0.145  1.861  0.005 1160.  127.     -1.4  0.072   0.75   0.28    1.00  322.   10.0  301.8    2.0     0   0.00    39.  1011.     5
2019-01-04T15:00:00 19  1  4   4 15  199.2  0.273  1.945  0.005 1335.  329.     -9.2  0.072   0.75   0.28    2.60    1.   10.0  302.0    2.0     0   0.00    45.  1011.     2
2019-01-04T16:00:00 19  1  4   4 16  173.3  0.308  1.937  0.005 1514.  393.    -15.2  0.072   0.75   0.28    3.10  320.   10.0  301.9    2.0     0   0.00    44.  1010.     4
2019-01-04T17:00:00 19  1  4   4 17  138.8  0.414  1.881  0.005 1729.  612.    -46.0  0.072   0.75   0.29    4.60  323.   10.0  301.2    2.0     0   0.00    47.  1010.     4
2019-01-04T18:00:00 19  1  4   4 18   95.0  0.294  1.708  0.005 1890.  374.    -24.0  0.072   0.75   0.30    3.10  359.   10.0  301.1    2.0     0   0.00    39.  1009.     2
2019-01-04T19:00:00 19  1  4   4 19   39.6  0.158  1.304  0.005 2018.  156.     -9.0  0.072   0.75   0.36    1.50  317.   10.0  300.8    2.0     0   0.00    36.  1009.     0
2019-01-04T20:00:00 19  1  4   4 20   -6.3  0.125    nan    nan   nan  102.     27.9  0.072   0.75   0.55    2.10  319.   10.0  299.6    2.0     0   0.00    40.  1010.     0
2019-01-04T21:00:00 19  1  4   4 21   -7.1  0.085    nan    nan   nan   57.      7.9  0.072   0.75   1.00    2.10  357.   10.0  298.6    2.0     0   0.00    47.  1010.     0
2019-01-04T22:00:00 19  1  4   4 22   -3.6  0.061    nan    nan   nan   35.      5.6  0.072   0.75   1.00    1.50  359.   10.0  296.9    2.0     0   0.00    54.  1011.     0
2019-01-04T23:00:00 19  1  4   4 23  -10.9  0.106    nan    nan   nan   79.      9.7  0.072   0.75   1.00    2.60  322.   10.0  296.6    2.0     0   0.00    55.  1011.     0
2019-01-04T24:00:00 19  1  4   4 24   -1.6  0.041    nan    nan   nan   20.      3.8  0.072   0.75   1.00    1.00  358.   10.0  297.4    2.0     0   0.00    61.  1011.     0
2019-01-05T01:00:00 19  1  5   5  1  -25.9  0.243    nan    nan   nan  275.     49.8  0.072   0.75   1.00    3.60    5.   10.0  298.0    2.0     0   0.00    60.  1011.     0
2019-01-05T02:00:00 19  1  5   5  2   -3.6  0.061    nan    nan   nan   83.      5.6  0.072   0.75   1.00    1.50  324.   10.0  297.5    2.0     0   0.00    61.  1011.     0
2019-01-05T03:00:00 19  1  5   5  3   -7.1  0.085    nan    nan   nan   57.      7.9  0.072   0.75   1.00    2.10  357.   10.0  297.0    2.0     0   0.00    63.  1011.     0
2019-01-05T04:00:00 19  1  5   5  4   -0.4  0.020    nan    nan   nan   11.      1.9  0.072   0.75   1.00    0.50  320.   10.0  296.9    2.0     0   0.00    63.  1010.     0
2019-01-05T05:00:00 19  1  5   5  5   -3.6  0.061    nan    nan   nan   35.      5.6  0.072   0.75   1.00    1.50  322.   10.0  296.2    2.0     0   0.00    65.  1010.     0
2019-01-05T06:00:00 19  1  5   5  6   -7.1  0.085    nan    nan   nan   57.      7.9  0.072   0.75   1.00    2.10  325.   10.0  295.6    2.0     0   0.00    68.  1011.     0
2019-01-05T07:00:00 19  1  5   5  7  -11.4  0.163    nan    nan   nan  151.     34.0  0.072   0.75   0.58    2.60    2.   10.0  296.5    2.0     0   0.00    63.  1011.     0
2019-01-05T08:00:00 19  1  5   5  8   32.6  0.237  0.356  0.005   50.  266.    -37.1  0.072   0.75   0.37    2.60    5.   10.0  297.2    2.0     0   0.00    54.  1012.     0
2019-01-05T09:00:00 19  1  5   5  9   84.8  0.366  0.967  0.005  385.  509.    -52.1  0.072   0.75   0.31    4.10  319.   10.0  297.9    2.0     0   0.00    50.  1012.     0
2019-01-05T10:00:00 19  1  5   5 10  130.5  0.450  1.309  0.005  621.  694.    -62.9  0.072   0.75   0.29    5.10  318.   10.0  298.5    2.0     0   0.00    52.  1011.     0
2019-01-05T11:00:00 19  1  5   5 11  167.1  0.307  1.516  0.005  753.  404.    -15.6  0.072   0.75   0.28    3.10  358.   10.0  299.2    2.0     0   0.00    51.  1011.     0
2019-01-05T12:00:00 19  1  5   5 12  193.0  0.459  1.731  0.005  970.  716.    -45.2  0.072   0.75   0.28    5.10  359.   10.0  300.5    2.0     0   0.00    46.  1011.     0
2019-01-05T13:00:00 19  1  5   5 13  206.1  0.424  1.876  0.005 1156.  636.    -33.2  0.072   0.75   0.28    4.60  358.   10.0  301.4    2.0     0   0.00    41.  1010.     0
